job_id,company,title,location,description,skills,experience_level,url,source,compensation_min,compensation_max,application_deadline
JOB-011,Northlight Data,Data Engineer I,Remote,"Build data pipelines in Python that move data between SQL databases and AWS S3. Some backend API work in FastAPI, but the primary focus is ETL and data quality rather than product feature development.","Python, SQL, AWS S3, ETL, FastAPI",Entry-level (0-2 years),https://example.com/jobs/JOB-011,synthetic,92000,110000,2026-10-12
JOB-012,Vantage AI,Junior Machine Learning Engineer,Remote,"Train and evaluate machine learning models in Python using scikit-learn and PyTorch. Some exposure to AWS for model deployment, but the role centers on modeling rather than backend software engineering.","Python, Machine Learning, scikit-learn, PyTorch, AWS",Entry-level (0-2 years),https://example.com/jobs/JOB-012,synthetic,100000,125000,2026-10-18
JOB-013,Skybridge Cloud,Cloud Infrastructure Engineer - Entry Level,Remote,Provision and manage AWS infrastructure using Terraform. Write automation scripts in Python and Linux shell. Limited application-level software development; focus is infrastructure and networking.,"AWS, Terraform, Python, Linux, Networking",Entry-level,https://example.com/jobs/JOB-013,synthetic,90000,110000,2026-11-20
JOB-014,Ironclad Systems,Junior DevOps Engineer,Remote,"Maintain CI/CD pipelines, Docker images, and AWS deployments for engineering teams. Some scripting in Python, but day-to-day work is operational rather than building product features.","Docker, AWS, CI/CD, Python, Linux, Git",Entry-level (0-2 years),https://example.com/jobs/JOB-014,synthetic,88000,108000,2026-10-08
JOB-015,Meridian Insights,Data Analyst - Software Team,"New York, NY",Write SQL queries and Python scripts to analyze product usage data and build dashboards. Partners with backend engineers but does not build production services directly.,"SQL, Python, Data Analysis, Excel",Entry-level,https://example.com/jobs/JOB-015,synthetic,75000,90000,2026-10-22
JOB-016,Vertex Learning,Associate ML Platform Engineer,Remote,"Support machine learning infrastructure using Python and AWS SageMaker. Build some internal APIs, but most work involves model training pipelines and experiment tracking rather than product backend development.","Python, AWS SageMaker, Machine Learning, REST APIs",Entry-level (0-2 years),https://example.com/jobs/JOB-016,synthetic,98000,118000,2026-11-10
JOB-017,Beacon Networks,Junior Site Reliability Engineer,Remote,"Monitor production systems on AWS and Linux, respond to incidents, and write automation scripts in Python. Focus is operations and reliability rather than feature development.","AWS, Linux, Python, Monitoring, Git",Entry-level (0-2 years),https://example.com/jobs/JOB-017,synthetic,92000,112000,2026-10-30
JOB-018,Solace Data Systems,Backend Engineer - Data Platform,Remote,Build backend services in Java that ingest and serve large data sets on AWS. Mixes REST API development with heavy data-pipeline responsibilities and SQL warehouse maintenance.,"Java, AWS, REST APIs, SQL, Data Pipelines",Entry-level (0-2 years),https://example.com/jobs/JOB-018,synthetic,90000,110000,2026-12-05
JOB-019,Titanhold Corp,Senior Staff Software Engineer,"San Francisco, CA",Lead architecture decisions for our distributed systems platform. Requires 10+ years of experience designing large-scale backend systems and mentoring senior engineers. Not an entry-level position.,"Distributed Systems, Java, Leadership, System Design",Staff / 10+ years,https://example.com/jobs/JOB-019,synthetic,260000,330000,2026-10-01
JOB-020,Pocketwave Apps,iOS Mobile Engineer,Remote,Build native iOS applications in Swift and SwiftUI. No backend or server-side work involved; this role is entirely focused on mobile client development for our consumer app.,"Swift, SwiftUI, iOS, Xcode",Mid-level (3-5 years),https://example.com/jobs/JOB-020,synthetic,130000,160000,2026-11-01
JOB-021,Ridgeline Technologies,Senior Backend Architect,Remote,Own the technical roadmap for backend infrastructure serving millions of users. Requires 8+ years of experience with distributed systems and prior experience leading engineering teams.,"Java, Distributed Systems, Kafka, Leadership",Senior / 8+ years,https://example.com/jobs/JOB-021,synthetic,210000,260000,2026-10-15
JOB-022,Palette Studio,UX/UI Product Designer,"New York, NY","Design user flows, wireframes, and high-fidelity mockups for our web and mobile products. Collaborate with product managers on user research. No coding required.","Figma, UX Research, Wireframing, Prototyping",Mid-level (3+ years),https://example.com/jobs/JOB-022,synthetic,100000,130000,2026-11-12
JOB-023,Circuit Mobile,Android Developer,Remote,Develop and maintain our Android application in Kotlin. Requires 4+ years of native Android development experience. No backend or web development responsibilities.,"Kotlin, Android, Java, Jetpack Compose",Mid/Senior (4+ years),https://example.com/jobs/JOB-023,synthetic,140000,170000,2026-10-28
JOB-024,Northgate Solutions,Sales Development Representative,Remote,Generate and qualify leads for our enterprise sales team. Conduct outbound outreach via email and phone. No technical or programming background required.,"Salesforce, Communication, Cold Calling, CRM",Entry-level,https://example.com/jobs/JOB-024,synthetic,55000,70000,2026-10-03
JOB-025,Vaultstone Inc,"Senior Principal Engineer, Distributed Systems",Remote,Set technical direction for our distributed data infrastructure. Requires 12+ years of experience and a track record of leading company-wide technical initiatives.,"Distributed Systems, C++, Leadership, System Design",Principal / 12+ years,https://example.com/jobs/JOB-025,synthetic,300000,380000,2026-12-15
JOB-026,Brightleaf Media,Graphic Designer - Marketing,Remote,"Create marketing graphics, social media assets, and brand illustrations. Work closely with the marketing team on campaign visuals. No software engineering involved.","Adobe Illustrator, Photoshop, Branding, Typography",Entry-level,https://example.com/jobs/JOB-026,synthetic,55000,68000,2026-10-09
